Nama Lengkap,ASAL SMA,PILIHAN 1,,PILIHAN 2,,PILIHAN 3,,NILAI UTBK 1,,NILAI UTBK 2,,
,,UNIV,JURUSAN,UNIV,JURUSAN,UNIV,JURUSAN,TKA,TPS,TKA,TPS,
Hasna Lathifah Budiman,SMA Darul Ulum 3 Jombang,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER HEWAN,534.0,193.0,651.0,840.0,UNIVERSITAS SYIAH KUALA
Agus Pranoto Setiadi,SMA Cita Hati,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,UNIVERSITAS SYIAH KUALA,TEKNIK SIPIL,644.0,304.0,752.0,733.0,UNIVERSITAS MALIKUSSALEH
Henry Hartono Go,SMA Pancasila Semarang,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,UNIVERSITAS SYIAH KUALA,TEKNIK MESIN,650.0,809.0,519.0,174.0,UNIVERSITAS TEUKU UMAR
Sunata Tjiterosampurno,SMA Negeri 1 Tambun Utara,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,UNIVERSITAS SYIAH KUALA,TEKNIK KIMIA,522.4,436.0,197.0,225.0,UNIVERSITAS SAMUDRA
Sutikno,SMAN 1 Babakan,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,UNIVERSITAS SYIAH KUALA,ARSITEKTUR,650.0,374.0,369.0,802.0,ISBI ACEH
Ridwan Irawan,SMA Tunas,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,UNIVERSITAS SYIAH KUALA,TEKNIK ELEKTRO,640.0,320.0,370.0,831.0,UNIVERSITAS ISLAM NEGERI AR-RANIRY
Sulaiman Leban Koswara,SMA Negeri 1 Majenang,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,UNIVERSITAS SYIAH KUALA,AGROTEKNOLOGI,690.0,537.0,658.0,720.0,UNIVERSITAS SUMATERA UTARA
Maryati Benniardi Imanto,SMA Negeri 1 Purwodadi,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,UNIVERSITAS SYIAH KUALA,AGRIBISNIS,653.0,702.0,298.0,105.0,UNIVERSITAS NEGERI MEDAN
Muhammad Andre Pasha Djuanda,SMA Gajah Mada,UNIVERSITAS SYIAH KUALA,PETERNAKAN,UNIVERSITAS SYIAH KUALA,PETERNAKAN,UNIVERSITAS SYIAH KUALA,PETERNAKAN,647.0,606.0,841.0,829.0,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA
Hermani Soeprapto,SMA LB-C Darma Asih,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNOLOGI HASIL PERTANIAN,520.8,671.0,794.0,649.0,UNIVERSITAS RIAU
Handoyo Sutanto,SMA Negeri 84,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,UNIVERSITAS SYIAH KUALA,TEKNIK PERTANIAN,642.0,303.0,488.0,196.0,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM
Shalimar Sulisto,SMA Saraswati 1 Denpasar,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN BIOLOGI,689.0,142.0,806.0,187.0,UNIVERSITAS MARITIM RAJA ALI HAJI
Fahri Rahman,SMA Ronggolawe,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN MATEMATIKA,512.8,645.0,605.0,615.0,UNIVERSITAS ANDALAS
Ali Chendra,MA Al Muddatsiriyah,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN FISIKA,509.5,533.0,201.0,209.0,UNIVERSITAS NEGERI PADANG
Linda Liani Janti Senjaya,SMA Negeri 6,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,UNIVERSITAS SYIAH KUALA,PENDIDIKAN KIMIA,519.5,416.0,700.0,788.0,ISI PADANG PANJANG
Jeremy David Kemp,SMA Negeri 71,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER,517.8,695.0,611.0,560.0,UNIVERSITAS JAMBI
Alvin Gozali,SMA Bina Harapan Ngaglik,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,UNIVERSITAS SYIAH KUALA,ILMU KEPERAWATAN,645.0,352.0,168.0,386.0,UNIVERSITAS BENGKULU
Sinatra Arto Hardy,SMA Kristen Purwokerto,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,UNIVERSITAS SYIAH KUALA,PENDIDIKAN DOKTER GIGI,538.4,132.0,638.0,179.0,UNIVERSITAS SRIWIJAYA
Edward Stephanus Djauhari,SMA Dian Kasih,UNIVERSITAS SYIAH KUALA,MATEMATIKA,UNIVERSITAS SYIAH KUALA,MATEMATIKA,UNIVERSITAS SYIAH KUALA,MATEMATIKA,667.0,800.0,889.0,723.0,UNIVERSITAS ISLAM NEGERI RADEN FATAH
Khou Lim Ngo,SMA Negeri 81,UNIVERSITAS SYIAH KUALA,FISIKA,UNIVERSITAS SYIAH KUALA,FISIKA,UNIVERSITAS SYIAH KUALA,FISIKA,654.0,498.0,254.0,357.0,UNIVERSITAS BANGKA BELITUNG
Ami Nisrina Putri,SMA Negeri 1 Kudus (RSBI),UNIVERSITAS SYIAH KUALA,KIMIA,UNIVERSITAS SYIAH KUALA,KIMIA,UNIVERSITAS SYIAH KUALA,KIMIA,520.7,192.0,600.0,462.0,UNIVERSITAS LAMPUNG
Solidi Silvester Korompis,SMA Cahaya Sakti,UNIVERSITAS SYIAH KUALA,BIOLOGI,UNIVERSITAS SYIAH KUALA,BIOLOGI,UNIVERSITAS SYIAH KUALA,BIOLOGI,519.2,225.0,622.0,191.0,INSTITUT TEKNOLOGI SUMATERA
Susana Sutanto,SMA Muhammadiyah 2,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,UNIVERSITAS SYIAH KUALA,ILMU KELAUTAN,637.3,198.0,816.0,450.0,UNIVERSITAS SULTAN AGENG TIRTAYASA
